property_id,price,predicted_price,size_sqm,location,project,cluster_label,timestamp
7653125,1300000,1350976.097738754,64,UAE,Aldar,Low-Value,2025-05-18 14:39:31
7648190,939000,416626.8346517747,86,UAE,,Low-Value,2025-05-18 14:39:31
4164292,1650000,1637948.6577219423,93,UAE,Aldar,Low-Value,2025-05-18 14:39:31
8460173,1436000,1331049.4847179586,107,UAE,Bloom Holding,Low-Value,2025-05-18 14:39:39
8457458,503999,317513.39972203365,26,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8462956,930000,1059611.6628138786,43,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8453725,1450000,1459196.5410513515,75,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8453615,1479326,1519031.0092606433,75,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8456798,920000,401309.620385495,67,UAE,,Low-Value,2025-05-18 14:39:39
8456548,950000,1187820.3930560127,42,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8431917,990000,1113744.482352281,46,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8445750,1511642,1497262.2573666843,81,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8460899,1300000,1167488.906474769,98,UAE,Q Properties,Low-Value,2025-05-18 14:39:39
8429576,620000,-140564.2244613776,56,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:39:39
8463685,1975000,2469389.305021338,159,UAE,Q Properties,Low-Value,2025-05-18 14:39:39
8422077,499000,288091.57137154276,26,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8437368,999000,1247822.9967445135,44,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8465060,1250000,995885.4800883085,99,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8431971,896999,994714.8936965549,42,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8454771,2800000,3081947.7262264565,144,UAE,,Low-Value,2025-05-18 14:39:39
8461432,795000,253635.73740513064,81,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:39:39
8427600,1590000,1619833.6289250236,83,UAE,Aldar,Low-Value,2025-05-18 14:39:39
8432616,900000,479152.728347145,69,UAE,Siadah Development,Low-Value,2025-05-18 14:39:47
8408085,1500000,1797459.1716107856,65,UAE,Aldar,Low-Value,2025-05-18 14:39:47
8433665,1560000,1814364.8513234742,76,UAE,UAEAldar,Low-Value,2025-05-18 14:32:59
8428943,2100000,2433149.1609288175,103,UAE,UAECosmo Develpments,Low-Value,2025-05-18 14:32:59
8425606,897000,876110.471181131,48,UAE,UAEAldar,Low-Value,2025-05-18 14:32:59
8345871,1300000,1350976.097738754,64,UAE,Aldar,Low-Value,2025-05-18 14:39:07
7752180,3000000,3300094.0285733994,133,UAE,,Low-Value,2025-05-18 14:39:15
8056213,1500000,1797459.1716107856,65,UAE,Aldar,Low-Value,2025-05-18 14:39:23
8449941,849990,236321.59065687098,68,UAE,,Low-Value,2025-05-18 14:39:23
8426677,1500000,1797459.1716107856,65,UAE,Aldar,Low-Value,2025-05-18 14:39:23
8444281,2200000,2349518.9471665174,118,UAE,,Low-Value,2025-05-18 14:39:23
8391159,2499990,2736104.861688042,132,UAE,Aldar,Low-Value,2025-05-18 14:39:23
7652205,980000,730519.6875897273,110,UAE,DAMAC Properties,Low-Value,2025-05-18 14:39:31
8462330,1147950,1239534.0369870719,129,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:39:47
8429658,830000,379338.1181849339,102,UAE,Aldar,Low-Value,2025-05-18 14:39:47
8421351,990000,660763.0499324906,60,UAE,,Low-Value,2025-05-18 14:39:47
8426176,950000,895921.0527772196,48,UAE,Aldar,Low-Value,2025-05-18 14:39:47
8432250,2780000,3057893.540299599,143,UAE,,Low-Value,2025-05-18 14:39:47
8431864,750000,425601.73236961477,46,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:39:47
8425957,1600000,1637814.6408161158,82,UAE,,Low-Value,2025-05-18 14:39:47
8436376,630000,614869.9771843776,32,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:39:47
8422351,850000,625892.0353391124,50,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:39:47
8408124,2098000,2338324.2127201417,108,UAE,Nine Yards,Low-Value,2025-05-18 14:39:47
8428457,925000,390072.0873875655,74,UAE,Aldar,Low-Value,2025-05-18 14:39:47
8406595,3252000,4894086.63220581,263,UAE,Nine Yards,Low-Value,2025-05-18 14:39:47
8437493,1799999,1834565.9206705969,102,UAE,Aldar,Low-Value,2025-05-18 14:39:47
8405946,1100000,863412.7708986192,73,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:39:47
8441532,3400000,3779397.787355356,168,UAE,Aldar,Low-Value,2025-05-18 14:39:47
8436950,1149999,792481.6067391918,88,UAE,,Low-Value,2025-05-18 14:39:47
8406346,1200000,879977.2941786097,90,UAE,,Low-Value,2025-05-18 14:39:47
8450336,4850888,5274329.512764642,144,UAE,Aldar,Low-Value,2025-05-18 14:39:47
8406561,2700000,3329019.4736987576,178,UAE,Nine Yards,Low-Value,2025-05-18 14:39:55
8392835,19999900,13917806.27290587,305,UAE,,High-Value,2025-05-18 14:39:55
8436143,1355000,1299578.8888781648,123,UAE,,Low-Value,2025-05-18 14:39:55
8431204,1626000,1661007.2789548142,84,UAE,,Low-Value,2025-05-18 14:39:55
8400720,1400000,1730396.9707163377,144,UAE,Siadah Development,Low-Value,2025-05-18 14:39:55
8389735,950000,1077409.780835309,44,UAE,Aldar,Low-Value,2025-05-18 14:39:55
8417714,3436686,3767350.423940297,147,UAE,Aldar,Low-Value,2025-05-18 14:39:55
8448952,2450000,2870267.0991286505,151,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:39:55
8399807,1200000,997766.0810373947,86,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:39:55
8427843,1600000,1881125.9318713434,70,UAE,Aldar,Low-Value,2025-05-18 14:39:55
8391953,1300000,1230065.3621226624,69,UAE,,Low-Value,2025-05-18 14:39:55
8409516,1280000,1181587.1330370586,70,UAE,Aldar,Low-Value,2025-05-18 14:39:55
8368597,1150000,899864.4227797203,109,UAE,,Low-Value,2025-05-18 14:39:55
8426521,700000,25058.970365758054,51,UAE,,Low-Value,2025-05-18 14:39:55
8384386,949900,1077061.9987620246,44,UAE,Aldar,Low-Value,2025-05-18 14:39:55
8404799,2100000,2488334.56201877,148,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:39:55
8362670,4376900,4959578.542553737,129,UAE,Aldar,Low-Value,2025-05-18 14:39:55
8403974,2550000,2995010.4684887715,109,UAE,SAAS Properties,Low-Value,2025-05-18 14:40:04
8429202,3800000,4237700.293757438,171,UAE,Modon,Low-Value,2025-05-18 14:40:04
8404005,780000,877502.2020198749,38,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:04
8403982,3500000,3953322.7641276894,145,UAE,SAAS Properties,Low-Value,2025-05-18 14:40:04
8382575,2000000,2331557.549478315,142,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:04
8369607,1300000,1108541.4284531623,78,UAE,,Low-Value,2025-05-18 14:40:04
8372446,1950000,2178680.3970024996,144,UAE,,Low-Value,2025-05-18 14:40:04
8402831,1475000,1376620.9276542142,87,UAE,Aldar,Low-Value,2025-05-18 14:40:04
8437538,1951999,2176384.512518786,127,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:04
8402837,3716122,4162047.364259962,186,UAE,Aldar,Low-Value,2025-05-18 14:40:04
8384625,4699990,5063671.997710219,149,UAE,Aldar,Low-Value,2025-05-18 14:40:04
8382102,1550000,1663228.690711352,75,UAE,Aldar,Low-Value,2025-05-18 14:40:04
8358416,4080000,5958549.805794727,87,UAE,Aldar,Low-Value,2025-05-18 14:40:04
8402833,2300000,2489378.4218767807,120,UAE,Aldar,Low-Value,2025-05-18 14:40:04
8368504,950000,432626.85409423243,85,UAE,,Low-Value,2025-05-18 14:40:04
8405106,1400000,1244703.589511972,87,UAE,Aldar,Low-Value,2025-05-18 14:40:04
8385901,1455000,1469398.148534352,75,UAE,Aldar,Low-Value,2025-05-18 14:40:04
8389984,1250000,1086733.588156581,86,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:04
8389732,1350000,1387467.9498198517,73,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:04
8360839,3143426,3510982.2030280475,162,UAE,Aldar,Low-Value,2025-05-18 14:40:04
8344912,990000,1216522.610148945,44,UAE,Aldar,Low-Value,2025-05-18 14:40:12
8391678,1380000,1879017.8996443767,58,UAE,Tiger Properties,Low-Value,2025-05-18 14:40:12
8390978,1520000,1672348.1585619207,74,UAE,Deyaar,Low-Value,2025-05-18 14:40:12
8346988,2195000,2378502.7960828682,131,UAE,Aldar,Low-Value,2025-05-18 14:40:12
8358256,780000,370438.36819017027,47,UAE,,Low-Value,2025-05-18 14:40:12
8332801,504000,317519.28526481194,26,UAE,Aldar,Low-Value,2025-05-18 14:40:12
8386820,828560,1671366.4195056623,30,UAE,Aldar,Low-Value,2025-05-18 14:40:12
8353635,1950000,2065404.6990055759,126,UAE,Aldar,Low-Value,2025-05-18 14:40:12
8393576,1500000,1498582.4716199022,94,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:40:12
8387940,1050000,696420.2517408226,102,UAE,,Low-Value,2025-05-18 14:40:12
8354564,1300000,2009828.9136844724,170,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:40:12
8349047,4316000,4887336.926772959,129,UAE,Aldar,Low-Value,2025-05-18 14:40:12
8369018,1399999,1240653.6867998661,107,UAE,,Low-Value,2025-05-18 14:40:12
8391065,1700000,1723850.8783860765,112,UAE,Burtville Development,Low-Value,2025-05-18 14:40:12
8353949,750000,196630.0150021175,50,UAE,,Low-Value,2025-05-18 14:40:12
8332626,2238891,2623110.786570723,160,UAE,,Low-Value,2025-05-18 14:40:12
8390590,932000,905118.5776155237,49,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:12
8362504,1456000,1346674.176263515,96,UAE,Burtville Development,Low-Value,2025-05-18 14:40:12
8360838,3181000,3566950.0535032153,168,UAE,,Low-Value,2025-05-18 14:40:12
8349508,3800000,5213588.491338264,269,UAE,Aldar,Low-Value,2025-05-18 14:40:12
8332695,1100000,922700.8797819279,69,UAE,Siadah Development,Low-Value,2025-05-18 14:40:20
8312112,910000,768400.9592397194,48,UAE,Aldar,Low-Value,2025-05-18 14:40:20
8370622,950000,1130785.6685092272,43,UAE,Aldar,Low-Value,2025-05-18 14:40:20
8345541,1450000,1314156.4555756943,88,UAE,,Low-Value,2025-05-18 14:40:20
8334218,1150000,909412.4480118183,85,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:20
8328559,2700000,3460868.1261373376,187,UAE,Siadah Development,Low-Value,2025-05-18 14:40:20
8377933,1190000,979972.5796135571,86,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:20
8369928,2245000,2426414.637146105,115,UAE,Aldar,Low-Value,2025-05-18 14:40:20
8358432,1850000,2167907.610213926,153,UAE,,Low-Value,2025-05-18 14:40:20
8365653,860500,572852.638950061,53,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:20
8343730,2400000,2625582.2522694673,134,UAE,Aldar,Low-Value,2025-05-18 14:40:20
8357367,1500000,2727607.407743604,47,UAE,Aldar,Low-Value,2025-05-18 14:40:20
8346159,1550000,1663228.690711352,75,UAE,Aldar,Low-Value,2025-05-18 14:40:20
8348773,1520000,1627096.6122628208,73,UAE,,Low-Value,2025-05-18 14:40:20
8369335,1095000,815432.4528015777,66,UAE,,Low-Value,2025-05-18 14:40:20
8360191,2990000,3400125.210073294,121,UAE,Cosmo Develpments,Low-Value,2025-05-18 14:40:20
8323429,1200000,1091194.0381723251,65,UAE,Aldar,Low-Value,2025-05-18 14:40:20
8384281,1100000,794660.8447514912,105,UAE,,Low-Value,2025-05-18 14:40:20
8327418,2200000,2546027.4690666497,156,UAE,,Low-Value,2025-05-18 14:40:20
8421143,770000,593978.6032275045,43,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:20
8368534,1450000,1562955.527027768,75,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:28
8396564,877999,623376.581217519,53,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:28
